ID;SALDO;F_SALDO;COMPRAS;COMPRAS_PUNTUALES;COMPRAS_PLAZOS;AVANCE_EFECTIVO;F_COMPRAS;F_COMPRAS_PUNTUALES;F_COMPRAS_PLAZOS;F_AVANCE_EFECTIVO;P_AVANCE_EFECTIVO;P_COMPRAS;LÍMITE_CREDITO;PAGOS;PAGOS_MINIMOS;F_PAGOS_COMPLETOS;MESES_CLIENTE
C10012;13261.17723;0.7567332;43973.35975;8609.227274;18411.2505;31318.18999;0.841168188;0.149091819;0.477878409;0.94923111;91;187;16531.26379;7967.449588;58024.63997;0.283074723;10
C10013;13371.97329;0.689339697;41570.91735;5472.038574;19741.40539;38430.47375;0.816695814;0.203431402;0.491737143;0.904331307;91;184;12243.33748;9064.822744;63723.5314;0.38921409;10
C10014;13425.24409;0.695068555;40339.94041;5874.272869;18700.9537;42306.79231;0.895832631;0.27865394;0.556852272;1.064363501;94;199;14457.07547;6520.566727;59938.75001;0.348235427;10
C10015;13294.00278;0.752501927;40006.73789;6808.155042;18761.80885;35333.26831;0.877188579;0.231176785;0.627449605;1.037256074;85;198;16436.50271;2706.069721;64554.87891;0.293409788;10
C10016;16336.15778;0.237881271;10110.36138;32059.04325;9957.448609;23933.21819;0.487243935;0.609837799;0.761781038;1.025514193;47;182;4710.224858;20905.7147;56374.7995;0.164360693;8
C10017;16004.60599;0.194614952;9956.15521;33525.59381;10820.50119;24453.91748;0.479646345;0.744256575;0.668434496;1.056704838;47;159;5218.247737;18612.0731;59673.51328;0.100966258;8
C10018;1801.404053;0.545955817;26108.26058;32333.00013;10290.61637;5029.915707;0.168890258;0.794870729;0.220956618;1.381164439;20;299;24593.20238;43205.54493;19750.49344;0.735621669;11
C10019;2661.928833;0.634438558;25490.97056;31952.59061;11684.45579;9077.482279;0.177906351;0.782396325;0.292477119;1.296732339;25;263;26657.12695;43364.55409;14259.29932;0.721607051;11
C10020;4503.786901;0.541350326;25736.61129;33163.60772;10894.54772;6777.89738;0.245258188;0.73972915;0.216808207;1.320981946;25;330;25740.94613;43968.17558;9448.107696;0.691834666;11
C10021;14390.57719;0.798401468;40874.49911;7565.529979;19460.73995;44882.66899;0.89691882;0.199114369;0.502531493;0.930438215;89;206;14234.6782;12927.96788;51434.6428;0.405571436;10
C10022;13686.62208;0.699268868;42020.52203;8196.197007;19846.84433;36065.32515;0.750775169;0.25705613;0.600034747;0.987755117;96;210;13139.00971;11298.70672;54663.57237;0.252221984;10
C10023;4349.937377;0.203049968;27719.81284;35419.22732;3883.407516;7606.291522;0.369569471;0.561295109;0.840143686;0.335191261;85;109;17017.44024;21660.2609;38567.33525;0.825844419;6
C10024;4348.853704;0.182788909;31743.25957;33955.45587;3970.694554;11443.81595;0.365339728;0.466044443;0.914866434;0.129842701;94;84;14891.74453;25339.59965;36539.23075;0.860715841;6
C10025;12865.30443;0.899865282;39348.83458;7088.683689;19455.42932;34092.14259;0.918287977;0.245332641;0.57032368;0.99478779;108;188;13981.18918;9142.211153;49107.8248;0.324656248;10
C10026;4432.283571;0.150062415;27609.73683;36394.21071;3123.275685;12529.07072;0.345802028;0.596032439;0.846841019;0.176174098;75;105;15617.92919;23826.03639;35920.65303;0.845211044;6
C10027;15630.62219;0.880623801;36467.99524;7275.841867;17382.57604;38773.28893;0.705652297;0.262331366;0.562192777;0.998413839;99;206;17307.28943;8913.547854;63932.04199;0.368827977;9
C10028;3072.343749;0.601547266;27107.18925;33091.56569;12234.55477;11767.72584;0.086731299;0.646709366;0.084221741;1.351002389;35;252;23809.18361;45198.57123;21163.25854;0.666704384;11
C10029;13334.90552;0.800079782;41474.68982;6429.745528;18032.05801;35429.21951;0.788352531;0.245368884;0.501000033;0.993441985;78;175;14220.64507;7571.007225;54629.63085;0.403570534;10
C10030;17148.5277;0.157087819;6982.022363;29878.50839;10819.41496;25749.32629;0.458411929;0.730384965;0.676542955;1.095096321;38;186;5757.179049;21730.94645;57863.54424;0.19495553;8
C10031;12216.52339;0.72028067;42803.07808;6443.565896;19075.14053;33708.64677;0.865764094;0.25873192;0.522278003;1.055424131;83;226;13538.85569;10614.58486;53815.92991;0.364774151;10
C10032;3310.590886;0.599920475;31427.68034;29692.27375;9395.804625;12119.27183;0.241003502;0.759243714;0.192673908;1.353220145;28;307;27471.47063;42788.56625;;0.748458278;11
C10033;13103.68335;0.710816202;38831.19651;7326.463363;19602.35017;34938.72892;0.792948979;0.22068304;0.50249868;0.925908008;103;224;16844.361;11257.44596;58047.23556;0.365563012;10
C10034;3448.361361;0.54568578;23015.21054;32817.50787;9348.121773;12098.28881;0.201443501;0.679800303;0.200645992;1.317130781;22;276;26385.40814;43553.362;14499.99574;0.643395229;10
C10035;5213.053393;0.176432095;33291.18684;34505.59698;2518.94448;12987.23349;0.501957162;0.500048389;0.88212187;0.276446304;84;89;15146.14966;24118.90512;27820.39299;0.782740706;6
C10036;3064.282055;0.209109616;31623.38053;34871.30657;2722.806723;13415.82161;0.333943318;0.563751395;0.857887213;0.061037215;77;58;16566.51621;22721.0528;28616.37845;0.803265045;6
C10037;13562.16046;0.748336644;40420.38527;5651.204935;19218.85536;40740.40263;0.73006945;0.428734315;0.577035218;0.974760128;105;200;13581.34319;9523.653528;61759.6003;0.422146867;10
C10038;4098.82515;0.161535596;28657.73703;35367.96598;3511.401426;12918.45233;0.345261799;0.476065997;0.851009689;0.136969591;81;68;13964.05923;23290.46188;33927.76622;0.795053379;7
C10039;14771.11053;0.704808055;40975.72062;6537.246534;19517.96868;35048.06172;0.85599065;0.172141003;0.460947748;0.865380885;94;219;13960.70382;9250.744753;51755.65279;0.380901576;9
C10040;4568.69175;0.259732346;33158.6125;37295.12545;2442.80105;12182.76328;0.279655692;0.598402056;0.776266469;0.242321794;80;89;18146.16688;28278.2028;34948.0545;0.858670716;7
C10041;17409.2195;0.251815901;11900.73531;32104.87926;11933.49166;26621.16038;0.486653531;0.774067288;0.540686129;1.040041582;56;134;4023.906668;22848.1967;55524.3918;0.147044675;8
C10042;13729.49594;0.10847811;9698.926826;36031.31627;8760.196555;25217.53185;0.447725722;0.732980842;0.615570609;0.990816808;36;140;6280.006333;17735.60045;53445.1712;0.165933976;8
C10043;3063.505662;0.14956529;29512.0399;35454.21997;2619.767575;14547.93437;0.447538502;0.607791253;0.805650571;0.187811435;79;74;15639.13307;23466.87539;33040.9895;0.796168513;6
C10044;5266.41592;0.158344556;29566.42281;35700.31225;3568.092402;10173.32579;0.519607593;0.557000535;0.875653449;0.156044443;87;79;15204.11844;23956.05689;34761.50227;0.861232397;6
C10045;3077.906899;0.292628265;33107.85236;37874.84195;4304.367102;10716.3503;0.338508228;0.672377642;0.896194611;0.228538338;85;65;16566.07828;26842.22077;27685.98094;0.854576785;6
C10046;14893.09497;0.754368923;43348.8715;7196.968679;20440.09864;36786.55161;0.758416171;0.211380881;0.501564172;0.828791191;89;183;16223.67251;8064.315833;;0.377103678;10
C10047;12792.68254;0.795185997;37585.25473;5797.317057;19918.35237;35499.90664;0.806829345;0.322610517;0.465409312;0.920677647;96;174;14600.41773;9340.563745;53584.04284;0.408724482;9
C10048;5663.871794;0.2326037;30544.02876;37681.96062;3916.122803;10265.90563;0.597706161;0.494339176;0.829396978;0.290701073;77;108;14696.06582;27148.52123;23860.99992;0.773494791;7
C10049;13474.2324;0.8701343;42195.92002;8179.072443;21581.29543;37177.67118;0.674030354;0.354656342;0.506430819;0.938354807;84;235;15328.07619;8302.970361;51724.92791;0.340966078;10
C10050;4933.752508;0.244680795;26283.88171;35297.39124;2767.005957;15618.76972;0.474665051;0.49272493;0.825095386;0.072963774;75;92;15538.52763;23314.41584;31207.62046;0.904953838;7
C10051;2054.306321;0.287250229;29141.48031;39155.24118;2652.957817;8389.308987;0.445481252;0.59252782;0.797070708;0.219599002;99;93;15346.25051;21907.6448;28569.39221;0.776034497;6
C10052;17567.54618;0.105014848;6068.898395;29798.75285;10757.08133;19143.70536;0.530476032;0.725509258;0.646612782;0.845329612;41;182;4046.189;19839.91881;51168.61013;0.057951634;8
C10053;4649.385482;0.138766988;25751.17898;34638.25619;3882.759559;13851.56617;0.478882943;0.520232675;0.828608665;0.208856078;64;119;14668.45351;23475.91594;31980.31728;0.883100224;7
C10054;13030.31817;0.767214722;41541.2923;4084.981848;19163.85925;37746.28868;0.854852478;0.244612653;0.493248614;1.065782549;97;244;11722.58105;12306.43897;;0.433215083;10
C10055;2946.780533;0.246370061;27643.6531;39184.85668;3263.993848;11250.50598;0.306287918;0.593647878;0.932279422;0.138710393;85;68;15878.45936;25356.97923;42674.93035;0.854484041;6
C10056;4622.437805;0.209581191;29816.21827;33343.92958;1488.748303;12874.67138;0.415632673;0.5979815;0.808211037;0.198234174;90;108;16420.92824;28428.48988;39830.56707;0.878499484;7
C10057;13938.86226;0.757651654;40881.67044;6409.015623;18393.49489;36621.71429;0.730510016;0.12202438;0.533689442;0.977860031;103;170;12226.67619;9336.142323;63351.38051;0.317049035;9
C10058;3026.345176;0.55292957;30539.15188;35602.61164;9471.249698;12299.883;0.171997409;0.767152488;0.18977179;1.316359971;40;293;25196.4472;44583.06075;19613.52701;0.681869226;11
C10059;15091.68253;0.717361783;42151.18261;6963.585899;18836.43056;38030.60311;0.752598461;0.19579709;0.556900354;1.021921261;106;219;15641.45593;8851.281631;57337.64212;0.283938469;10
C10060;12699.16081;0.707215043;42661.15134;5506.814445;20552.90025;36081.39897;0.830816133;0.184331081;0.549094986;1.050768923;89;186;14165.61204;10133.45905;57458.32988;0.413260627;10
C10061;13520.92543;0.696017233;40392.91946;7982.611534;19505.82505;33026.08559;0.813656117;0.214538633;0.588536404;0.876286938;78;202;12964.42486;8562.16006;64140.96855;0.420487857;10
C10062;16723.84367;0.218948161;9863.163602;33327.8022;9005.852576;23156.10978;0.44306678;0.675037662;0.677724775;0.96003929;47;164;4388.055478;17013.18523;45607.63563;0.136402535;8
C10063;2786.294882;0.160613403;34711.51825;35093.31336;3186.402025;11670.72275;0.370207575;0.626883517;0.909007194;0.193174811;94;70;13632.65814;25653.31354;23679.50715;0.859309866;7
C10064;16678.11563;0.214025887;11096.36257;31257.20232;11035.51517;23399.16285;0.437288706;0.742053702;0.683628864;0.99300726;72;161;6103.007419;18516.90683;47136.44217;0.107157918;7
C10065;3247.528192;0.635668196;24583.75166;32706.91626;10159.15074;12584.28199;0.23206793;0.853151391;0.219351667;1.418656723;40;298;28337.23806;48160.42205;22602.63787;0.688387555;11
C10066;4799.754568;0.230191497;32013.64183;31504.3327;4080.375561;7023.845883;0.389430115;0.587040063;0.922636498;0.186882546;88;71;16855.52104;23984.44594;45952.5495;0.825963428;7
C10067;3085.657715;0.669861559;22724.52169;32657.87233;9543.451413;6834.516601;0.175362725;0.881368015;0.158763634;1.292888887;37;295;22666.28495;45473.55351;19858.61379;0.70578557;10
C10068;15265.36773;0.132410766;7387.010534;29501.5911;11633.12969;24431.25471;0.491683527;0.712970854;0.585017896;1.000382799;58;179;3958.167899;22462.99745;51667.59435;0.13965448;8
C10069;4109.575969;0.615361486;28719.49068;30315.90774;9129.717409;12202.42746;0.154324821;0.833145858;0.102985933;1.325297763;29;292;25923.56999;45655.98098;10942.47257;0.738659362;10
C10070;3149.16545;0.651600607;24581.45005;30140.591;10727.40607;6638.811361;0.159896088;0.763036509;0.172371253;1.389657588;35;282;23888.90281;40989.45379;15570.35925;0.638489506;10
C10071;12929.86241;0.724504152;42121.9083;7279.908389;18456.13259;37453.6472;0.655589753;0.168838718;0.621427454;0.970703862;104;213;13558.20232;11138.30807;54590.40831;0.4055712;9
C10072;13154.98009;0.704537246;40971.35905;6277.04919;18878.86102;43072.49996;0.852881722;0.092457414;0.541221091;0.969466989;90;202;14858.9255;11132.14284;54546.48149;0.40285613;10
C10073;13121.73016;0.753834118;40409.23286;7042.44403;18931.98621;38381.06739;0.762001212;0.140441384;0.553033964;1.037887448;89;180;14522.83171;9072.507598;60516.50299;0.324337316;9
C10074;12796.74421;0.708538867;41860.48699;5196.440196;19060.33326;39122.51043;0.808013039;0.254940405;0.447149781;0.940781025;103;180;16289.24195;6910.151681;53364.56907;0.409768664;10
C10075;12715.88557;0.770200717;42787.78483;6828.178976;20014.75202;34690.93761;0.794916328;0.304404818;0.566876262;1.113661832;95;204;14282.06162;7209.70655;63896.34959;0.351612109;9
C10076;13349.33655;0.712450989;40215.83046;4908.121116;18242.91657;35011.44167;0.861002617;0.34438972;0.57912692;1.134433383;91;253;15431.21429;9892.576599;68497.07074;0.409220316;10
C10077;12349.82072;0.790885454;40066.25585;4032.985188;19008.11047;35710.55443;0.772898071;0.282957575;0.500678347;0.990788081;92;147;15954.75842;9781.86541;57384.7191;0.28195666;10
C10078;4175.443462;0.211556139;26406.49335;38205.68527;4091.838584;10928.71401;0.459283311;0.44717156;0.915372883;0.19918618;88;68;15354.06896;26894.45281;32625.32953;0.752653446;6
C10079;3514.910807;0.181879228;28067.6853;35318.373;2660.913729;12034.56947;0.451773194;0.494645602;0.791137968;0.143462178;80;65;17314.28573;28487.3557;;0.866447954;6
C10080;14226.87092;0.719521494;45885.48423;4832.284492;19461.91385;36197.47345;0.758827458;0.358280024;0.566582368;1.044034813;84;239;15234.48512;9177.855698;57050.89316;0.390743275;10
C10081;14440.09344;0.79320825;39201.68633;3843.555704;20621.68051;39664.38441;0.727948908;0.139351913;0.501552881;0.997437695;102;167;16495.72014;4869.297469;50359.5082;0.38589948;10
C10082;14485.32758;0.851244962;38605.72278;9572.750328;21074.98623;32728.67527;0.830731847;0.137710977;0.613469079;1.004950527;88;184;15258.88878;6161.333298;57288.04504;0.364286896;10
C10083;4413.010523;0.144640481;29833.23837;36132.03918;4010.518331;10119.9394;0.518753028;0.583040085;0.828596163;0.202644805;83;28;14804.60118;24729.59627;44321.17226;0.80327117;7
C10084;14842.55829;0.646725268;43698.71969;9008.776393;20681.03502;38156.37766;0.737969326;0.231240399;0.536775514;1.143971045;93;180;16793.8544;9480.579655;60843.21097;0.378234926;10
C10085;4218.587517;0.194929863;29317.6679;35140.26153;2797.418867;9714.539517;0.426210936;0.639056339;0.79917937;0.218534247;80;108;18251.86388;23360.55927;41042.57041;0.799354518;6
C10086;13502.89712;0.708602399;36914.69846;5295.296652;21174.52919;41583.22209;0.806343128;0.202340061;0.52023833;0.956692848;92;221;13888.5208;10724.25551;61268.79494;0.347130609;9
C10087;2787.21127;0.54604697;27325.9261;29021.35853;9683.827144;10381.29504;0.214299609;0.726534241;0.145166817;1.456969054;32;328;25154.14579;42307.78456;17691.45578;0.578175043;10
C10088;6302.351287;0.186239413;25789.99188;32336.02695;1393.069645;9451.156795;0.468423159;0.594084113;0.78032166;0.097150746;73;111;15606.25186;26766.97429;28549.64379;0.800465723;7
C10089;13177.36395;0.755535806;41793.61387;4280.328973;17893.97189;40935.11015;0.727288711;0.22854351;0.524653839;1.049763605;85;216;13162.45812;12184.72977;58099.41936;0.335476082;9
C10090;3919.959702;0.235706025;34201.09159;35280.94964;2729.547627;8935.533204;0.4369617;0.451179887;0.915133789;0.197042524;92;32;14846.74333;25950.12024;27882.3615;0.898265542;6
C10091;4899.437117;0.184022099;28216.38113;37445.75176;3047.926654;16277.65724;0.42862594;0.586122621;0.875633369;0.157457549;98;68;15905.11824;22604.54342;31462.48833;0.861633703;7
C10092;5952.2724;0.181069065;28387.85181;37141.3818;3762.257946;7278.663442;0.476210072;0.447443803;0.89692501;0.094353493;78;88;16040.76811;23704.02832;35804.83024;0.793262173;6
C10093;13428.96476;0.804602769;39140.62858;10625.86095;19317.46649;38613.28592;0.999194116;0.281221329;0.54703736;0.990421626;103;183;13927.27595;10532.69284;51447.93585;0.4231221;10
C10094;3127.822721;0.581807305;28071.75215;32223.67941;10719.56597;9514.122862;0.322018178;0.802221329;0.282491751;1.352671367;24;281;28056.94933;45559.48737;27488.21728;0.74155105;11
C10095;13473.80062;0.755858172;41377.61484;6883.015662;21162.75546;38622.45608;0.922793564;0.324438407;0.550428149;1.036169637;83;217;14415.99305;10427.90227;51960.41681;0.330507939;9
C10096;16293.28406;0.265354303;7924.030493;29368.46921;11472.37887;17897.33804;0.531561644;0.746729072;0.651566673;1.017192617;51;165;4201.923317;21625.54749;48506.1848;0.130520134;8
C10097;13380.38351;0.76549381;37461.68178;4686.825564;20668.42066;38946.41487;0.859578624;0.231471986;0.555916271;1.001475379;81;240;16231.99435;8514.427675;48720.8388;0.348092287;10
C10098;16646.45892;0.178235795;6228.865702;29451.87273;11071.27126;20825.74712;0.543833315;0.604638847;0.617785983;1.024817114;41;155;3473.852758;17913.48482;59434.36725;0.112589029;8
C10099;17524.1101;0.225869364;7166.981824;31476.88848;11991.9799;18390.61688;0.495623674;0.763372383;0.546625853;0.998915186;54;161;5388.186951;20121.01523;51615.29082;0.13881258;8
C10100;4122.323219;0.679258199;24514.61559;31156.22157;11782.65744;5461.665794;0.17288122;0.771234526;0.188862453;1.322407213;21;270;27081.23619;46390.65567;14487.21534;0.718683623;11
C10101;13402.77577;0.796229756;44603.9688;4532.45264;19947.15174;38419.35538;0.833001501;0.334900963;0.549550912;0.897218113;93;200;13248.59958;4492.901093;50933.0715;0.352521117;10
C10102;12243.96911;0.743215525;37447.67992;7309.622999;18259.50535;36560.17294;0.782067728;0.171058948;0.534948359;1.020982062;83;199;14233.69536;8473.420054;57193.38386;0.371806099;9
C10103;3214.813167;0.578102673;25020.5236;33413.74252;10812.70822;2708.343632;0.184027496;0.721936099;0.221803456;1.299714792;38;257;26099.72208;38713.45221;15882.7971;0.690262221;10
C10104;17265.29754;0.124060529;8362.734676;28872.62404;10775.16398;22797.45248;0.537148237;0.666899147;0.575951119;0.977606244;39;167;5553.126197;16892.88908;54228.14384;0.172796826;8
C10105;13453.01325;0.862952083;38625.33281;5423.325961;19210.19223;35744.31569;0.727953639;0.305776503;0.515745707;0.979923516;84;176;15448.85253;5853.057822;52168.42886;0.428465329;10
C10106;14364.62085;0.731486561;43776.25124;6940.861349;17839.76314;35403.77196;0.772882798;0.23675295;0.511112264;1.00937538;95;148;17242.79609;11652.05295;52509.66217;0.36334;10
C10107;16145.54189;0.186501204;9882.500996;29965.86621;9831.669278;18190.76443;0.537991648;0.766134498;0.600957975;0.989403877;56;169;4746.977885;22969.9779;60911.04232;0.180443576;8
C10108;5000.129512;0.258795828;30256.84398;35563.8449;910.2281341;12263.05051;0.349900073;0.610862601;0.880541715;0.224202838;88;75;14129.5961;24360.50151;31788.50858;0.831749747;6
C10109;4481.137567;0.201580345;28619.07902;34650.71444;2192.604619;18526.16736;0.372385168;0.711774054;0.822264555;0.239432095;72;100;14815.08307;23955.87624;34816.41821;0.886822123;6
C10110;5254.112335;0.193205541;28517.41541;32465.75072;2387.034099;8943.903924;0.443990525;0.539165918;0.866090728;0.291032695;80;83;15440.61957;23450.94706;27090.26663;0.791587948;7
C10111;4723.646832;0.121553219;32121.56366;35446.32676;3406.305541;14039.26234;0.350920584;0.47392811;0.816098306;0.269193125;79;66;16019.13421;24205.06466;27720.87215;0.753369826;6
C10112;16825.51269;0.258556469;8154.15698;32711.32139;10434.64792;22850.41294;0.517439144;0.615691709;0.647091062;1.061410995;60;159;5071.234547;21256.13919;54385.91873;0.033592333;8
C10113;17750.22717;0.178148386;4302.241369;29474.89804;9947.525909;23751.88668;0.564290419;0.710491345;0.605057273;0.960524989;54;186;4091.576617;21236.96711;58034.19347;0.121932698;8
C10114;3547.306814;0.210584785;36808.06316;36166.84767;3222.0166;8432.155444;0.414881354;0.475537662;0.769510447;0.15254663;79;39;15044.20635;22958.68031;29898.36938;0.873866095;7
C10115;4557.021132;0.111613657;33487.33731;33581.61735;2486.764107;10837.89527;0.439586937;0.598997773;0.902008109;0.250000918;56;77;15840.05718;27819.31032;37024.85751;0.852043132;7
C10116;13259.77966;0.682280362;36636.91643;5063.812946;20287.44587;37076.61866;0.822712809;0.203534639;0.484304482;0.956692711;83;200;12489.2284;5249.09216;62802.92977;0.347878989;10
C10117;13991.54991;0.755216588;44164.4079;9111.498103;19145.95916;37651.68749;0.829972634;0.214436246;0.562373461;0.876264348;98;195;16940.75732;11426.85023;55754.18161;0.325086536;10
C10118;11883.94455;0.73164246;42222.25427;6210.113619;20253.25365;42601.27504;0.733192863;0.200910503;0.539643469;0.867193515;93;175;17740.63483;9446.992937;65003.43466;0.372422089;10
C10119;3206.321734;0.565942918;23808.87884;29168.02906;9312.783717;7561.060384;0.201125903;0.876753396;0.072576743;1.318402071;30;243;26512.01054;42301.44525;17653.81211;0.695000762;11
C10120;13186.84144;0.832365618;38812.7031;6739.166606;20616.02023;41255.32752;0.79150158;0.21070146;0.511539204;0.929994;87;199;15220.52849;12521.69348;60576.64089;0.408839327;10
C10121;15120.79097;0.196635619;5969.29541;29249.76242;11178.65979;22755.68286;0.365365578;0.7812208;0.627587903;1.041397125;45;135;2992.400394;23790.20933;55726.71993;0.177968006;8
C10122;12934.28207;0.807886539;40873.70373;4121.472676;19312.35586;36965.2217;0.774228796;0.211187166;0.505621088;0.952460969;94;203;14553.24424;9177.495326;47838.846;0.301784732;9
C10123;12015.33663;0.751362598;41018.34813;7351.604177;19163.74437;36677.03197;0.732627429;0.211924397;0.6011723;1.10197915;92;229;15684.70025;5027.293138;46930.43313;0.397792929;10
C10124;14957.75816;0.744948412;39300.2853;6969.458619;19561.99923;35896.74426;0.788601443;0.231773361;0.600117184;0.935042605;96;220;15575.82409;3563.73734;49939.37736;0.35123382;10
C10125;4828.950874;0.207966838;28798.95117;34784.65135;3739.85265;9374.267833;0.402127203;0.581885887;0.806409956;0.275500995;80;82;15649.54007;25080.50404;30925.86763;0.922865114;6
C10126;14845.97251;0.140439537;8194.937022;33187.65478;10341.48431;18605.9914;0.553409035;0.677575601;0.626233803;0.954281864;50;187;6369.440858;21409.47921;56743.02257;0.045632564;8
C10127;16853.48122;0.11208169;9054.883361;31504.54879;10164.05597;18181.32419;0.579358962;0.648161268;0.599487511;0.968808158;57;162;6603.710599;18367.35854;54533.14411;0.125376199;7
C10128;15699.78602;0.161630818;4608.791894;31701.36136;11402.1093;18109.98704;0.468946472;0.631146321;0.610942524;0.995764109;65;222;4329.215545;20552.88169;49858.25821;0.167777526;8
C10129;14059.76366;0.800625547;40968.40144;8873.191616;17799.24169;36812.65683;0.772674965;0.209401938;0.466121961;1.089829185;90;219;13262.02611;6027.471538;57638.23512;0.366829213;9
C10130;3329.800987;0.168155924;28866.57597;35082.93492;4462.29368;9787.107781;0.347967257;0.53826719;0.8135151;0.098049486;88;65;14702.54385;22897.75352;31713.18509;0.907997188;7
C10131;4898.872213;0.186316499;28825.30668;34677.18573;3791.009894;11387.33845;0.443648949;0.561313909;0.864482527;0.178581408;76;132;14278.22045;24505.57854;35268.16217;0.819082569;6
C10132;12875.5203;0.840468834;37861.18321;4323.390668;20226.93438;41074.61718;0.854927294;0.295478573;0.597574562;1.049352463;90;177;15641.91832;9676.343312;54718.29653;0.327575254;10
C10133;13098.88341;0.851777971;44490.65942;5279.055239;18657.83087;34507.2543;0.890362102;0.241594633;0.565452221;0.894362812;93;190;15002.18583;6560.093894;63610.26541;0.455315938;10
C10134;13099.87953;0.894778739;39974.05896;2976.881184;20161.27542;35660.54615;0.82285374;0.272472709;0.487553915;1.034110245;84;204;14219.58649;6916.295744;67950.40492;0.426623992;10
C10135;5020.16816;0.243449859;29507.64166;37751.08845;2561.401167;12256.93953;0.424187343;0.616769796;0.788229858;0.263185561;99;109;15747.07809;24774.41087;35795.14703;0.955041713;6
C10136;4966.150715;0.22982761;31419.94798;35917.13404;2612.962954;15451.25724;0.343559465;0.586931448;0.866407503;0.19508227;90;104;14892.12385;23458.30139;32413.45365;0.834287537;6
C10137;4017.583266;0.234081457;32236.92351;32752.00041;3832.940477;8776.868401;0.466694203;0.547524947;0.904244369;0.125537306;76;126;16510.40019;31390.43132;38276.06053;0.866837345;7
C10138;13338.8789;0.790429765;41663.95798;5835.69579;19093.29599;36216.84485;0.744879145;0.189975427;0.535828428;0.991829614;95;179;13485.38964;9729.072734;56874.97217;0.387141184;9
C10139;13197.73049;0.821861028;40527.82865;5290.5251;20242.82123;34489.04585;0.815150719;0.127794701;0.64346401;0.84560066;95;213;12192.40868;11666.5934;65003.29671;0.357432841;10
C10140;5934.921728;0.221784497;32115.62911;34533.02755;1993.505042;13173.70066;0.36792987;0.502430732;0.867479695;0.268597451;92;100;15742.42939;26334.94162;39664.88582;0.867641975;7
C10141;11823.55917;0.887744774;43528.63829;7264.340798;18116.8368;33629.96706;0.74091364;0.100734954;0.532983964;1.026165995;92;201;16233.51511;3529.239956;54895.07586;0.354604046;9
C10142;13930.52476;0.780554009;42130.54012;7585.719547;20114.71616;43341.3246;0.799860185;0.200266648;0.527289262;0.947250247;103;190;13290.1249;10377.94745;58892.63848;0.361304091;10
C10143;3038.487791;0.667252787;24255.9645;31233.07034;10000.83162;8947.126162;0.240760147;0.835303155;0.155401641;1.304626576;49;256;25212.02679;45838.67935;16377.2365;0.737091662;10
C10144;5273.548193;0.346204785;31616.49096;32062.63451;5155.244361;17460.53286;0.355820905;0.560408389;0.686503562;0.228926505;77;51;13821.50344;26532.05041;28976.80601;0.89255733;6
