objid,ra,dec,u,g,r,i,z,run,camcol,field,score,clean,class,redshift,mjd,rowv,colv
1237648702968758386,188.6283121,-1.138641058,18.28056,16.9521,16.42905,16.21359,16.12034,752,1,301,0.8191221,1,STAR,8.088591e-05,54567,-0.001628586,0.001297011
1237648720687792145,166.0834884,-0.607833548,18.80905,18.37338,18.64598,18.83105,19.01808,756,2,336,0.8651989,0,STAR,-0.000104588,51908,0.000502785,-0.002976295
1237649918428708879,14.60718028,13.65803797,16.82643,15.43794,14.98633,14.71074,14.70645,1035,1,60,0.8371245,0,STAR,-9.11e-05,51821,0.001620755,-0.005480256
1237648704050823409,207.6767934,-0.334604587,19.45241,18.3151,18.36806,18.45432,18.55334,752,3,428,0.914273,1,STAR,-0.000136704,51943,0.00078988,0.001182324
1237648675605315758,242.5625403,1.190245117,18.42238,18.22688,18.16234,18.02632,17.98409,745,6,560,0.337776,1,QSO,1.92721,51690,0.000203822,0.002797993
1237648720163307578,194.490579,-0.982394053,18.26242,17.10448,16.9093,16.86198,16.90508,756,1,525,0.8141704,1,STAR,-9.65e-05,51689,0.003869463,-0.005821918
1237648703517360304,215.3719786,-0.797497,18.77066,17.4621,16.75475,16.31569,16.04499,752,2,480,0.8272228,1,GALAXY,0.08425979,51609,0.000378395,-0.005534132
1237648704053706887,214.1708152,-0.301572203,19.27609,17.96388,17.25047,16.87071,16.59677,752,3,472,0.8060786,1,GALAXY,0.07824092,51615,0.004523429,-0.000118148
1237648722836652135,169.2342778,1.20276558,19.19686,18.05758,17.29645,16.88475,16.63058,756,6,357,0.854053,1,GALAXY,0.1525046,51984,0.001220978,-0.003887506
1237648721792008203,235.6883428,0.228502264,18.76105,18.65303,18.52948,18.25138,18.17807,756,4,801,0.8452527,1,QSO,1.694131,51663,0.001370623,0.000478259
1237648722311446659,195.9421771,0.710864239,19.28298,18.02748,17.35407,17.00374,16.72921,756,5,535,0.8140115,1,GALAXY,0.125378,51986,0.002472166,0.002875298
1237648704047415410,199.7844371,-0.33865787,18.95151,17.90119,17.39108,17.06789,16.9069,752,3,376,0.8720189,1,GALAXY,0.081264,51984,-0.000131376,-0.00025145
1237648721756356796,154.3347609,0.384748742,19.3414,17.47451,16.53033,16.09792,15.76174,756,4,257,0.882645,1,GALAXY,0.08454417,51883,-0.001882003,-0.001978831
1237648720166322390,201.3450838,-1.005006941,18.54905,17.13341,16.373,15.9425,15.65469,756,1,571,0.8269786,1,GALAXY,0.08603068,51959,-0.002132536,0.007353855
1237648722311118852,195.1063474,0.758372463,15.50503,15.66093,15.82817,15.91918,16.00278,756,5,530,0.7941496,1,STAR,0.000227438,51689,0.000816977,0.000535014
1237648721233444962,186.2541662,-0.052481162,17.25184,16.18772,15.88171,15.78729,15.78902,756,3,470,0.896279,1,STAR,8.58267e-05,54140,0.002601909,-0.000204388
1237648704055214227,217.6181342,-0.23442685,19.51428,18.67359,18.61282,18.63047,18.35689,752,3,495,0.8682254,1,QSO,2.62735,55621,0.004301373,0.003349893
1237648705132233067,225.2091807,0.432996689,18.52141,17.56177,17.26736,17.10192,17.00217,752,5,545,0.8766097,1,GALAXY,0.03575706,51990,0.006580366,0.02367324
1237648720164618489,197.4125545,-0.889716962,18.2249,16.9313,16.4719,16.29413,16.08992,756,1,545,0.824341,0,GALAXY,0.01778415,51986,0.01276435,0.005592334
1237648722307317905,186.5102517,0.777807843,18.6582,17.62311,16.99474,16.58331,16.36042,756,5,472,0.8636551,1,GALAXY,0.08331353,51990,0.00143885,-0.004279997
1237648722305744932,182.9127855,0.787190409,19.05321,17.99524,17.57333,17.41097,17.33611,756,5,448,0.8699969,1,STAR,0.000230465,54922,4.366124e-05,-0.000199514
1237648722831409299,157.3482802,1.162971637,19.46144,18.2571,17.75843,17.46453,17.31939,756,6,277,0.849116,1,GALAXY,0.09728704,51957,-0.002848897,-0.002259973
1237648722832654442,160.1265952,1.126828522,19.40884,18.17833,17.69728,17.3719,17.25206,756,6,296,0.8456578,1,GALAXY,0.08348634,51913,-0.002976962,0.004480433
1237648703510872254,200.6241417,-0.777419541,19.45424,17.0256,15.91278,15.48616,15.22603,752,2,381,0.8437425,1,STAR,-0.000123804,54970,0.000331934,0.001810286
1237646382080000397,95.66534099,0.880276948,18.3962,16.77513,16.34279,16.14446,15.98003,211,6,365,0.8010535,1,STAR,0.000216307,52931,0.002653744,-0.001824925
1237648704050168000,206.1670456,-0.358781442,18.86939,16.88241,15.819,15.28006,14.84171,752,3,418,0.908645,1,GALAXY,0.1015711,51943,-0.002509678,-0.005891212
1237648722304761998,180.7036722,0.691482636,19.4606,17.4721,16.52113,16.09818,15.77304,756,5,433,0.8591585,1,GALAXY,0.08188177,51930,0.001167457,0.00063965
1237648703513493743,206.5766774,-0.801586179,19.14205,17.96772,17.45321,17.09447,16.88161,752,2,421,0.9023971,1,GALAXY,0.088566,51671,-0.000115712,0.002405944
1237648702973018313,198.411992,-1.107010579,19.33042,17.95185,17.43846,17.27088,17.16031,752,1,366,0.8438424,1,STAR,0.000337601,56727,0.000249668,-0.002971744
1237648720686153764,162.3820105,-0.433749396,17.5054,15.80306,15.14073,14.883,14.74835,756,2,311,0.8301958,1,STAR,8.628731e-05,54208,-0.00146304,0.001055054
1237646382079541912,94.59326567,0.948959742,19.05359,17.62755,17.16829,16.96772,16.8418,211,6,358,0.8065355,1,STAR,9.675207e-05,52931,0.001306608,-0.002248608
1237648705130856994,222.0699747,0.632685808,19.55005,19.45104,19.55948,19.68855,19.8034,752,5,524,0.8911089,1,GALAXY,0.5843571,52027,0.001864625,-0.001862326
1237648721789124883,229.1124865,0.38425521,18.64376,16.75514,15.87734,15.45431,15.12937,756,4,757,0.8719137,1,GALAXY,0.05289865,51689,0.000829829,-0.001492537
1237648720132047246,123.085747,-0.998635254,17.4713,16.37209,16.07573,15.97894,15.97737,756,1,48,0.845479,0,S,0.000258006,53003,-0.001171596,0.0035966
1237648721757929654,157.9355788,0.212881635,18.72704,17.66169,17.19697,16.88467,16.64874,756,4,281,0.9058362,1,GALAXY,0.09655832,51957,-0.002286261,-0.003214394
1237648722307055881,185.9060331,0.675119784,18.86691,17.53382,16.76609,16.39353,16.09658,756,5,468,0.8699034,1,GALAXY,0.1124102,51990,0.000259809,-0.000287478
1237648722311118946,195.1423461,0.785160358,19.51528,18.68852,18.40643,18.32064,18.3078,756,5,530,0.7941496,1,STAR,6.888388e-05,55325,-0.002716321,0.001408051
1237648721232593037,184.1892206,-0.103487046,18.75854,17.45191,16.84739,16.52151,16.25487,756,3,457,0.8888036,1,GALAXY,0.04027047,52023,-0.003665009,0.004123662
1237648722833178812,161.3447442,1.124387953,17.8367,16.52532,15.88853,15.55103,15.19344,756,6,304,0.8337004,0,GALAXY,0.01640346,52022,0.01010313,-0.01728352
1237648721205919820,123.2783548,-0.155495066,19.1923,19.64128,20.11866,20.59825,20.74779,756,3,50,0.8707169,1,QSO,1.489723,53846,0.005548278,0.008601419
1237649918427529256,11.84148995,13.75800037,18.99192,17.76341,17.20069,16.95889,16.83418,1035,1,42,0.8396634,1,STAR,-0.000242127,54746,0.000861036,0.000812222
1237648720132571670,124.1512739,-0.906995291,19.56588,18.26415,17.73959,17.50406,17.37696,756,1,56,0.8613555,1,STAR,0.000239922,53003,0.000645106,0.000394017
1237648721206313490,124.191805,-0.026580228,19.54066,19.43838,19.77019,20.09426,20.29061,756,3,56,0.8678427,1,STAR,-2.2e-05,53846,0.001973793,0.001870835
1237648721206117063,123.8026304,-0.05107496,19.41149,18.50567,18.24582,18.15226,18.10762,756,3,53,0.8751869,1,STAR,0.000767627,53846,-0.002088196,0.004363438
1237648704052330605,211.0505219,-0.223608851,19.25729,19.12808,18.83389,18.70399,18.61511,752,3,451,0.8903704,1,QUASAR,1.222245,51688,-0.000698097,-0.000622458
1237648720132309568,123.549925,-0.984287712,19.43314,18.25849,18.16389,18.17313,18.23155,756,1,52,0.8581104,1,S,8.465456e-05,53003,-0.000484938,-0.000905037
1237648721232199697,183.3104005,-0.017838205,18.51692,17.4726,17.13642,17.02613,16.98805,756,3,451,0.8799449,1,STAR,-8.16e-07,51615,0.000960792,0.000878159
1237648720166715666,202.2414928,-0.924978846,19.12609,18.18032,17.54087,17.2085,17.01162,756,1,577,0.8049307,1,GALAXY,0.1684474,51959,-0.006357687,-0.01224445
1237648703512707094,204.7319607,-0.801992581,18.40248,16.76351,15.96425,15.52883,15.23378,752,2,409,0.8795446,1,GALAXY,0.08631681,51671,0.003185687,-0.000312125
1237648704050298928,206.4494803,-0.389824174,17.98895,17.72036,17.426,17.42489,17.39828,752,3,420,0.9182742,1,QSO,1.09649,55605,0.001605007,0.001064368
1237648705128890612,217.5402104,0.581073778,18.86883,17.42883,16.55265,16.1449,15.82446,752,5,494,0.8558916,0,GALAXY,0.1359299,51613,-0.001660665,-0.002333665
1237648721231937747,182.8242017,-0.036803399,19.1663,18.48536,17.73448,17.25782,17.00974,756,3,447,0.8950251,1,QSO,0.181084,52023,-0.001912165,-0.001003344
1237648705132691481,226.1675713,0.604517705,17.60564,15.6884,14.79852,14.34542,14.01396,752,5,552,0.9099941,1,GALAXY,0.04017343,51990,-0.002125755,0.001165492
1237648721759043703,160.4570251,0.313446756,19.11273,17.50094,16.68041,16.22015,15.87364,756,4,298,0.9000597,1,GALAXY,0.05999361,51910,0.003577179,0.007613505
1237648720132833312,124.760963,-0.950396112,15.72248,14.61804,14.29411,14.20289,14.18674,756,1,60,0.8746254,1,STAR,4.775047e-05,53816,0.00123034,0.00209771
1237648705127645405,214.7027621,0.496449859,18.51891,17.25058,16.68086,16.34006,16.16329,752,5,475,0.8269807,1,GALAXY,0.05325393,51609,-0.01345604,0.003523291
1237648721756094689,153.7663828,0.35221447,19.08798,17.36529,16.47758,15.97513,15.57111,756,4,253,0.8897897,1,GALAXY,0.06261506,51909,-0.001386922,-0.000923225
1237648704055410972,218.0919575,-0.22670086,18.5898,17.20307,16.45268,16.01735,15.69422,752,3,498,0.8355098,1,GALAXY,0.05533594,51637,-0.00661179,0.00300163
1237648704587104409,206.3141523,0.143842455,18.35759,18.69835,19.15792,19.16035,18.92554,752,4,419,0.9269044,1,STAR,3.053408e-05,55630,0.001286859,0.000320145
1237648721757929562,157.9405308,0.38793755,16.60368,15.60907,15.17583,14.97156,14.79663,756,4,281,0.9058362,1,GALAXY,0.02836903,51957,-0.005708985,-0.000988318
1237648705678540909,246.6855041,0.951672581,18.33569,17.10593,16.90254,16.83963,16.81147,752,6,689,0.8516904,1,STAR,-0.0008205,52000,0.000440439,-0.001095135
1237648703513428079,206.3741669,-0.781673248,18.28101,17.18856,16.70175,16.33173,16.14626,752,2,420,0.9047679,1,GALAXY,0.08813617,51943,-0.00286046,0.001156267
1237648722307121262,186.1006145,0.633756746,18.24211,17.02089,16.60702,16.46765,16.40135,756,5,469,0.8723025,1,STAR,0.000204169,54140,-0.001384136,-0.001409825
1237648705137279306,236.6565979,0.605062968,19.31868,18.05825,17.44019,17.10903,16.86737,752,5,622,0.8390486,1,GALAXY,0.07744272,51691,0.000229157,-0.002002394
1237648722311315609,195.6813878,0.663847185,16.71803,15.21995,14.5131,14.12653,13.82457,756,5,533,0.8063461,1,GALAXY,0.04072757,51986,0.004850946,0.002374699
1237648720717742123,234.4833105,-0.435145421,18.32956,17.18949,17.06201,17.0579,17.07818,756,2,793,0.8231857,1,STAR,-1.44e-05,51663,0.002377892,0.002950834
1237648722306269373,184.1292562,0.74217249,18.95719,17.96454,17.40565,17.02938,16.82817,756,5,456,0.8806506,1,GALAXY,0.120753,52000,-0.002323868,0.02272856
1237648720163504429,194.9380311,-0.871286929,18.88116,17.76976,17.39484,17.25322,17.20678,756,1,528,0.7951148,0,G,0.004120854,51689,-0.03977676,-0.03019435
1237648722308104213,188.2751642,0.778333529,17.84363,15.9977,15.18216,14.7825,14.47518,756,5,484,0.8662488,1,GALAXY,0.03120707,51941,-0.002660833,0.00021747
1237648703510413326,199.5125061,-0.672302056,18.4182,17.24102,16.8164,16.64818,16.56969,752,2,374,0.8685633,1,STAR,-6.48e-05,51984,0.000984341,-0.00151345
1237648721209262496,131.0273547,-0.103491494,17.69436,16.30057,15.78662,15.51907,15.30988,756,3,101,0.8412104,1,GALAXY,0.0512229,51901,0.007389266,0.005839198
1237648721788862537,228.5620102,0.300875608,18.96831,17.94357,17.52737,17.34416,17.25019,756,4,753,0.8859733,1,STAR,0.000175979,51689,-0.000865973,0.001630828
1237648705136951671,235.9134928,0.436274203,19.51991,18.37838,17.87787,17.58082,17.45397,752,5,617,0.8345096,0,GALAXY,0.08779156,51663,0.01391513,0.01748698
1237648720683335776,155.9057581,-0.456405253,19.40532,17.89528,17.04847,16.59534,16.33259,756,2,268,0.863869,0,GALAXY,0.1602293,51941,-0.005417883,-0.007146045
1237648704592347295,218.2039422,0.147019312,18.91661,18.00688,17.89687,17.59841,17.62219,752,4,499,0.8834109,0,GALAXY,0.05489514,51637,0.003157329,-0.002910406
1237648720685039769,159.8475235,-0.5342664,19.38251,17.92302,17.11018,16.66492,16.34558,756,2,294,0.872004,1,GALAXY,0.1141676,51913,0.003200986,-0.001479952
1237648705678279073,246.0457522,0.963693545,19.36684,19.33224,19.10791,18.75849,18.72759,752,6,685,0.8494453,1,QSO,0.2272165,52000,0.002798626,-0.000304268
1237648704591233112,215.7506758,0.160073083,18.9573,17.44931,16.65409,16.51495,16.20874,752,4,482,0.7924598,1,STAR,-7.26e-05,51609,-0.000601597,-0.003254158
1237648704588611715,209.6917828,0.022756489,18.78032,17.5474,16.99301,16.68377,16.43999,752,4,442,0.917045,1,GALAXY,0.03281121,51942,0.0122987,-0.02308348
1237648721209131256,130.6136373,-0.145168091,17.14244,15.7559,15.09484,14.71546,14.46033,756,3,99,0.8622218,1,GALAXY,0.05189087,51901,4.225423e-05,-0.001540849
1237648721755046037,151.3105073,0.338101989,18.93153,17.98025,17.6205,17.33697,17.24126,756,4,237,0.8817859,1,GALAXY,0.09435425,51910,0.00201623,-0.000339031
1237648705677623407,244.5666498,0.933133454,17.26143,16.11382,15.91448,15.86646,15.86977,752,6,675,0.8611507,1,STAR,0.000208029,51693,0.000745264,-0.001390873
1237648721231609897,182.0159398,-0.116600409,17.96686,16.9155,16.75447,16.68648,16.7088,756,3,442,0.8769619,1,S,-6.61e-05,51615,-0.000639366,0.000270429
1237648721790501103,232.2278128,0.288089567,19.11725,17.26744,16.35764,15.89298,15.56152,756,4,778,0.8585736,1,GALAXY,0.08045691,51673,-0.004089267,-0.004409147
1237648720134799598,129.3824132,-0.930854922,18.57048,16.63181,15.84635,15.56258,15.42107,756,1,90,0.8742135,1,STAR,-0.000110975,56745,-0.002964783,0.00238292
1237648704586514607,204.9390597,0.162825517,19.23867,19.19681,19.17012,18.90662,18.79437,752,4,410,0.9129205,1,QSO,1.873134,51955,0.002995355,-0.001697807
1237648702972952678,198.1487956,-1.12174783,19.17413,17.21237,16.19915,15.75145,15.3915,752,1,365,0.8465437,1,GALAXY,0.1087171,51985,-0.000955771,-0.000500815
1237646382079606869,94.67949899,0.84232101,18.47695,16.94897,16.68126,16.59887,16.51747,211,6,359,0.806204,1,STAR,0.000206783,52931,0.000371626,-0.001016536
1237648720685432838,160.7170039,-0.609533502,18.44119,17.54684,17.27727,17.1878,17.20361,756,2,300,0.8740551,1,STAR,-0.000114203,54208,0.000527336,0.001543771
1237648721755308108,151.8922054,0.277256148,16.92191,15.60744,14.99947,14.69341,14.42122,756,4,241,0.8849394,1,GALAXY,0.03345294,51910,-0.001838338,-0.000575342
1237648721753669653,148.1345175,0.235816362,18.93353,16.98117,16.04544,15.60755,15.27932,756,4,216,0.8754447,1,GALAXY,0.08571817,51608,0.000537319,0.001402805
1237648720685826188,161.7050514,-0.458871115,18.14537,16.98603,16.57416,16.4543,16.40801,756,2,306,0.8649849,1,S,0.000220861,54213,9.718633e-05,0.002361504
1237648720169861279,209.3931968,-0.978356945,18.97819,17.28354,16.32373,15.89531,15.5463,756,1,625,0.8684599,0,GALAXY,0.114918,51942,-0.002454153,3.647434e-05
1237648721753932062,148.8263603,0.290972875,19.413,18.51467,18.19586,18.06826,18.03469,756,4,220,0.8700953,1,STAR,0.000873807,55539,0.001048181,-0.000543657
1237648720160817166,188.6761445,-1.028286483,17.98431,16.78263,16.3092,16.114,16.00986,756,1,487,0.8537195,1,STAR,-8.58e-05,54567,-0.004574423,0.003348649
1237649918430675099,19.28987241,13.30763368,19.3913,17.31409,16.24925,15.80192,15.41582,1035,1,90,0.8399056,1,GALAXY,0.1220996,51821,0.001000889,-0.000595895
1237648721752686740,145.9479709,0.212025289,19.35604,17.38218,16.29403,15.80728,15.41712,756,4,201,0.8561308,1,GALAXY,0.1435671,51989,-0.000906353,-0.002287999
1237648705128103942,215.6502956,0.556397094,17.73281,16.72213,16.32467,16.10622,15.91971,752,5,482,0.7824787,1,STAR,-0.000277102,51609,-0.000428591,-0.002792653
1237648720688775245,168.3123246,-0.474680141,18.92155,17.6929,17.04097,16.60764,16.39481,756,2,351,0.8753082,1,G,0.0745896,51984,-0.001273182,0.003433255
1237648720162521217,192.6119247,-0.937863175,19.31642,18.24833,17.721,17.40833,17.26675,756,1,513,0.8653473,1,GALAXY,0.1407404,51609,0.0058701,-0.008838509
1237648720139059421,139.0732173,-0.856065697,18.84502,17.9171,17.6971,17.59665,17.54054,756,1,155,0.8035882,1,STAR,0.000240569,58930,0.002136952,0.001902714
1237648721753997386,148.9369916,0.252379383,17.36566,16.42457,16.06568,15.91946,15.85298,756,4,221,0.8633233,1,STAR,-5.08e-05,54468,-0.000903657,-0.000354954
1237648721231544570,181.8912552,-0.20679242,18.73827,17.50108,16.85823,16.49805,16.24433,756,3,441,0.8705651,1,GALAXY,0.1103809,51999,0.006784477,0.003912083
1237648722830295319,154.8251937,1.142630959,18.58222,17.22177,16.64602,16.31461,16.10627,756,6,260,0.8368613,1,GALAXY,0.07397179,51999,-0.00361999,-0.006417477
1237648721757077755,156.0293164,0.409284482,19.2867,17.95832,17.17408,16.74475,16.41903,756,4,268,0.8922976,1,GALAXY,0.1482422,51941,-0.004997045,0.004126169
1237648702973018130,198.2950739,-1.066607863,18.42061,17.51881,17.28811,17.20321,17.18052,752,1,366,0.8438424,1,STAR,0.000375244,56727,0.002200962,0.000748095
1237648722304499821,179.9910768,0.774467974,19.33354,18.17396,17.60711,17.26799,17.05753,756,5,429,0.8626091,1,GALAXY,0.1053644,51930,-0.007781271,-0.001066818
1237648720161472536,190.1710584,-0.848778524,17.29805,16.27963,15.95169,15.83239,15.80861,756,1,497,0.8272147,1,STAR,9.116656e-05,54567,0.002569644,4.115714e-05
1237648721231478853,181.7341188,-0.044816984,18.07027,17.15828,16.89009,16.80157,16.77897,756,3,440,0.8773582,1,STAR,-9.29e-05,54552,0.00085872,0.001289185
1237648721755111513,151.5062943,0.217011069,18.7437,17.55,17.08163,16.90959,16.83103,756,4,238,0.884885,1,S,-0.000151024,51909,0.0031754,0.001021196
1237648703512510808,204.4175709,-0.819253419,19.59735,17.60682,16.55909,16.07808,15.66286,752,2,406,0.8379807,0,GALAXY,0.1144375,51671,-0.000192777,0.008204907
1237648704048136357,201.5449926,-0.309923716,18.51169,18.35862,18.15642,18.14775,18.19999,752,3,387,0.8807632,1,QSO,1.257005,51959,0.004143923,-9.25e-05
1237648721207165337,126.2195493,-0.11609159,19.35027,18.22663,17.8939,17.79438,17.73346,756,3,69,0.8776626,1,STAR,0.000313939,53083,0.000880545,-0.000455633
1237649918427463866,11.75501896,13.69937324,19.58155,18.49723,17.68913,17.24281,16.94974,1035,1,41,0.83288,1,GALAXY,0.1666973,51879,-0.005315331,-0.003441409
1237648720685760554,161.543731,-0.52396033,17.28613,16.36086,16.02538,15.89519,15.8609,756,2,305,0.8677466,1,STAR,7.929312e-05,54208,0.000939974,0.003885226
1237648705678737598,247.1551854,1.026216902,19.12877,17.84834,17.28487,17.03798,16.91746,752,6,692,0.8472691,1,STAR,-0.00041093,52000,6.341937e-06,0.002753647
1237648704594051163,222.1418618,0.165401457,16.68,15.74014,15.43778,15.32019,15.298,752,4,525,0.8919482,1,STAR,-3.48e-05,54653,0.000708885,0.000396865
1237646382080262641,96.27467404,0.842180394,18.0279,16.33461,15.93053,15.75444,15.63022,211,6,369,0.8166273,1,S,0.00017429,52931,-0.002671754,0.000731027
1237648721209065884,130.4558006,-0.175422976,18.68959,17.59377,16.68891,16.20327,15.89163,756,3,98,0.8525044,1,GALAXY,0.1284398,55648,0.000263639,-0.002115567
1237648722305679494,182.7216419,0.696306874,19.56286,18.59858,18.35173,18.25039,18.25888,756,5,447,0.8800002,1,STAR,0.000262259,54922,-0.000478913,0.000959955
1237648704588415192,209.3210135,0.126403973,19.44552,19.15587,18.82451,18.36976,18.17455,752,4,439,0.9124442,1,QSO,1.749765,51942,-6.7e-05,0.000196574
1237648702968823812,188.7059299,-1.159852028,17.26858,16.41963,16.1088,15.9773,15.91213,752,1,302,0.823394,1,STAR,0.000234561,54567,0.001978873,0.004157025
1237648722829443392,152.8682775,1.220617644,19.5888,17.97792,16.8938,16.41125,16.10653,756,6,247,0.8397675,1,GALAXY,0.2163979,51957,0.008939972,0.001666465
1237648721231740989,182.366717,-0.1700102,18.50275,17.01362,16.47548,16.28242,16.19374,756,3,444,0.8870225,1,STAR,-5.31e-05,54552,0.000134863,0.000219902
1237648703515000937,210.0822371,-0.796642307,18.29611,18.15421,17.90545,17.94475,18.16924,752,2,444,0.8813025,1,QSO,1.20881,51942,0.004600033,0.005100232
1237648704593592453,221.119607,0.198736478,18.61097,17.45862,17.07661,16.74529,16.90368,752,4,518,0.9183725,1,S,-0.000114508,51662,0.00086294,0.000634449
1237648705136689485,235.3445565,0.51455114,19.08995,17.15163,16.16932,15.70767,15.34771,752,5,613,0.8528504,1,GALAXY,0.07300293,51663,-0.004281333,0.001962187
1237648705136885792,235.741418,0.540195727,18.22709,16.15041,15.07285,14.57196,14.19689,752,5,616,0.8385376,1,GALAXY,0.09376729,51691,-0.001018263,-0.001198377
1237648705131053204,222.5090329,0.578780567,17.78947,15.91691,15.07053,14.67859,14.36553,752,5,527,0.8800923,1,GALAXY,0.04041696,51994,-0.000671743,9.708001e-05
1237648722307973134,187.9389028,0.767324141,16.8489,15.4448,14.95716,14.79296,14.74203,756,5,482,0.8663213,0,S,-3.12e-05,54567,0.000725587,0.002495631
1237648703513690233,207.1038115,-0.816326578,19.03027,17.92062,17.54537,17.40652,17.39518,752,2,424,0.9075989,1,STAR,-1.12e-05,51943,-0.001396932,0.003467846
1237648721791811930,235.3070334,0.328825914,18.56438,16.52977,15.58324,15.12319,14.75507,756,4,798,0.8492811,1,GALAXY,0.05427978,51663,-0.002755789,-0.003655083
1237648722836521197,169.0502807,1.238488604,17.66292,15.87727,15.05034,14.65338,14.33701,756,6,355,0.8379278,1,GALAXY,0.04569846,51984,-0.003849704,0.005476483
